#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 05 999 99.0 99.0  1.38 16.67  9.64 246 9999.0 999.0  16.1 999.0 99.0 99.00
2014 01 01 00 35 999 99.0 99.0  1.33 14.29  9.41 265 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 01 05 999 99.0 99.0  1.38 14.29  9.29 261 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 01 01 35 999 99.0 99.0  1.26 14.29  8.55 261 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 01 02 05 999 99.0 99.0  1.34 15.38  8.76 256 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 01 02 35 999 99.0 99.0  1.20 13.33  7.66 269 9999.0 999.0  14.6 999.0 99.0 99.00
2014 01 01 03 05 999 99.0 99.0  1.36 15.38  8.00 253 9999.0 999.0  14.7 999.0 99.0 99.00
2014 01 01 03 35 999 99.0 99.0  1.43 15.38  8.04 251 9999.0 999.0  14.7 999.0 99.0 99.00
2014 01 01 04 05 999 99.0 99.0  1.33 15.38  7.40 256 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 01 04 35 999 99.0 99.0  1.45 15.38  8.34 248 9999.0 999.0  13.8 999.0 99.0 99.00
2014 01 01 05 05 999 99.0 99.0  1.35 14.29  7.69 262 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 05 35 999 99.0 99.0  1.44 15.38  8.17 253 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 06 05 999 99.0 99.0  1.44 13.33  8.12 269 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 06 35 999 99.0 99.0  1.37 13.33  7.69 273 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 07 05 999 99.0 99.0  1.35 14.29  7.44 263 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 07 35 999 99.0 99.0  1.48 14.29  7.89 270 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 08 05 999 99.0 99.0  1.39 13.33  7.46 270 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 08 35 999 99.0 99.0  1.52 14.29  7.65 269 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 09 05 999 99.0 99.0  1.40 15.38  7.54 262 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 09 35 999 99.0 99.0  1.43 14.29  7.88 262 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 10 05 999 99.0 99.0  1.44 14.29  7.91 266 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 10 35 999 99.0 99.0  1.35 15.38  8.10 262 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 11 05 999 99.0 99.0  1.48 14.29  8.74 266 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 11 35 999 99.0 99.0  1.28 15.38  7.75 262 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 12 05 999 99.0 99.0  1.39 14.29  8.52 266 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 12 35 999 99.0 99.0  1.42 14.29  8.17 272 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 13 05 999 99.0 99.0  1.30 14.29  7.93 258 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 13 35 999 99.0 99.0  1.25 13.33  8.03 277 9999.0 999.0  13.3 999.0 99.0 99.00
2014 01 01 14 05 999 99.0 99.0  1.32 15.38  8.50 262 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 14 35 999 99.0 99.0  1.29 15.38  8.21 259 9999.0 999.0  14.2 999.0 99.0 99.00
2014 01 01 15 05 999 99.0 99.0  1.48 14.29  9.10 255 9999.0 999.0  14.1 999.0 99.0 99.00
2014 01 01 15 35 999 99.0 99.0  1.25 14.29  8.21 262 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 01 16 05 999 99.0 99.0  1.32 14.29  8.10 259 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 16 35 999 99.0 99.0  1.41 13.33  8.67 266 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 17 05 999 99.0 99.0  1.32 14.29  8.57 269 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 01 17 35 999 99.0 99.0  1.41 13.33  8.76 272 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 01 18 05 999 99.0 99.0  1.37 14.29  8.73 268 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 01 18 35 999 99.0 99.0  1.19 13.33  8.37 263 9999.0 999.0  13.8 999.0 99.0 99.00
2014 01 01 19 05 999 99.0 99.0  1.17 14.29  8.66 262 9999.0 999.0  14.1 999.0 99.0 99.00
2014 01 01 19 35 999 99.0 99.0  1.23 11.76  8.94 269 9999.0 999.0  14.2 999.0 99.0 99.00
2014 01 01 20 05 999 99.0 99.0  1.15 13.33  8.74 270 9999.0 999.0  14.2 999.0 99.0 99.00
2014 01 01 20 35 999 99.0 99.0  1.32 14.29  9.52 263 9999.0 999.0  14.4 999.0 99.0 99.00
2014 01 01 21 05 999 99.0 99.0  1.28 13.33  9.59 263 9999.0 999.0  14.9 999.0 99.0 99.00
2014 01 01 21 35 999 99.0 99.0  1.41 14.29  9.50 261 9999.0 999.0  15.2 999.0 99.0 99.00
